Animal ID,Animal name,Gender,Year of arrival,Species ID,Species type,Species group,Lifestyle,Conservation Status,Diet ID,Diet type,No of feeds per day,Keeper ID,Keeper name,Keeper DoB,Keeper rank,Enclosure ID,Enclosure type,Enclosure location
A32,Gertrude,F,2012,,Gorilla,Mammal,Troop,Threatened,D1,Omnivore,6,K1,Dave,18-06-64,Senior,E2,Glass,North
A33,Olive,F,2015,,Orang-utan,Mammal,Solitary,Critically Endangered,D1,Omnivore,6,K1,Dave,18-06-64,Senior,E1,Moat,North
A34,Ossie,M,2011,,Orang-utan,Mammal,Solitary,Critically Endangered,D1,Omnivore,6,K1,Dave,18-06-64,Senior,E1,Moat,North
A35,Lena,F,2017,,Leopard,Mammal,Solitary,Threatened,D3,Carnivore,4,K3,Suki,09-08-98,Standard,E3,Fence,East
A36,Rommy,F,2018,,Rhinoceros,Mammal,Solitary,Critically Endangered,D2,Herbivore,6,K2,Kayden,21-01-85,Junior,E3,Fence,South
A37,Tulisa,F,2013,,Tamarin,Mammal,Troop,Critically Endangered,D1,Omnivore,4,K3,Suki,09-08-98,Standard,E3,Fence,East
A38,Chrissie,F,2000,,Crocodile,Reptile,Social,Vulnerable,D3,Carnivore,4,K2,Kayden,21-01-85,Junior,E3,Fence,South
A39,Elsie,F,2017,,Elephant,Mammal,Herd,Threatened,D2,Herbivore,6,K2,Kayden,21-01-85,Junior,E4,Walled,South
A40,Colin,M,2015,,Crocodile,Reptile,Social,Vulnerable,D3,Carnivore,4,K2,Kayden,21-01-85,Junior,E3,Fence,South
A41,Hattie,F,2018,,Hippopotamus,Mammal,Herd,Vulnerable,D2,Herbivore,6,K4,Temi,16-04-00,Senior,E3,Fence,West
A42,Robbie,M,2017,,Rhinoceros,Mammal,Solitary,Critically Endangered,D2,Herbivore,6,K2,Kayden,21-01-85,Junior,E3,Fence,South
A43,Luna,F,2018,,Lion,Mammal,Pride,Vulnerable,D3,Carnivore,3,K3,Suki,09-08-98,Standard,E4,Walled,East
A44,Rebbi,M,2013,,Raccoon,Mammal,Solitary,Least Concern,D1,Omnivore,2,K3,Suki,09-08-98,Standard,E5,Pen,East
A45,Penni,F,2000,,Penguin,Bird,Group,Threatened,D1,Omnivore,5,K4,Temi,16-04-00,Senior,E2,Glass,West
A46,Emmie,F,2000,,Elephant,Mammal,Herd,Threatened,D2,Herbivore,6,K2,Kayden,21-01-85,Junior,E4,Walled,South
A47,Lope,M,2017,,Leopard,Mammal,Solitary,Threatened,D3,Carnivore,4,K3,Suki,09-08-98,Standard,E3,Fence,East
A48,Cressida,F,2015,,Chinchilla,Mammal,Solitary,Endangered,D2,Herbivore,2,K3,Suki,09-08-98,Standard,E5,Pen,East
A49,Tommy,M,2018,,Tamarin,Mammal,Troop,Critically Endangered,D1,Omnivore,4,K3,Suki,09-08-98,Standard,E3,Fence,East
A50,Gareth,M,2017,,Gorilla,Mammal,Troop,Threatened,D1,Omnivore,6,K1,Dave,18-06-64,Senior,E2,Glass,North
